MA_DONG_XE,MA_LOAIXE,BIEN_SO_XE,MA_HD
VINFELI12,XCG2B.2,73-U327951,XCG_D0049455
VINFELI12,XCG2B.2,79-G857131,XCG_D0050728
VINFELI12,XCG2B.2,37-B241472,XCG_D0049489
VINFELI12,XCG2B.2,99-N747113,XCG_D0049491
VINFELI12,XCG2B.2,53-T200822,XCG_D0046977
VINFELI12,XCG2B.2,35-T225484,XCG_D0049613
VINFELI12,XCG2B.2,38-Z214791,XCG_D0047051
VINFELI12,XCG2B.2,68-F860490,XCG_D0047121
VINFELI12,XCG2B.2,31-V906947,XCG_D0048375
VINFELI12,XCG2B.2,32-D512389,XCG_D0050919
VINFELI12,XCG2B.2,85-B382111,XCG_D0048458
VINFELI12,XCG2B.2,11-F772513,XCG_D0047268
VINFELI12,XCG2B.2,93-C184488,XCG_D0047271
VINFELI12,XCG2B.2,84-D268426,XCG_D0046067
VINFELI12,XCG2B.2,61-Z319633,XCG_D0046105
VINFELI12,XCG2B.2,97-B898328,XCG_D0050005
VINFELI12,XCG2B.2,31-C555327,XCG_D0046122
VINFELI12,XCG2B.2,67-L607725,XCG_D0046153
VINFELI12,XCG2B.2,70-D932110,XCG_D0046193
VINFELI12,XCG2B.2,51-F654919,XCG_D0047523
VINFELI12,XCG2B.2,39-Z723290,XCG_D0050052
VINFELI12,XCG2B.2,38-A295038,XCG_D0050118
VINFELI12,XCG2B.2,93-H319949,XCG_D0050130
VINFELI12,XCG2B.2,50-X421369,XCG_D0046298
VINFELI12,XCG2B.2,60-K247878,XCG_D0048883
VINFELI12,XCG2B.2,55-X380796,XCG_D0049024
VINFELI12,XCG2B.2,74-F964240,XCG_D0050336
VINFELI12,XCG2B.2,79-V622095,XCG_D0046453
VINFELI12,XCG2B.2,83-N382703,XCG_D0050439
VINFELI12,XCG2B.2,49-P899996,XCG_D0049137
VINFELI12,XCG2B.2,81-H370768,XCG_D0049175
VINFELI12,XCG2B.2,70-K127866,XCG_D0047989
VINFELI12,XCG2B.2,77-X779870,XCG_D0047996
VINFELI12,XCG2B.2,17-P369857,XCG_D0049234
VINFELI12,XCG2B.2,49-P353371,XCG_D0046712
VINFELI12,XCG2B.2,38-T453671,XCG_D0049350
VINFELI12,XCG2B.2,29-X397650,XCG_D0046811
VINFELI12,XCG2B.2,49-B787337,XCG_D0045872
VINFELI12,XCG2B.2,20-P739485,XCG_D0045889
VINFELI12,XCG2B.2,25-V291346,XCG_D0045284
VINFELI12,XCG2B.2,79-T815907,XCG_D0045315
VINFELI12,XCG2B.2,62-T844939,XCG_D0045445
VINFELI12,XCG2B.2,74-Z704060,XCG_D0045487
VINFELI12,XCG2B.2,94-C705697,XCG_D0045545
VINFELI12,XCG2B.2,88-P235771,XCG_D0045580
VINFELI12,XCG2B.2,50-X421369,XCG_D0061298
VINFELI12,XCG2B.2,15-F452735,XCG_D0057424
VINFELI12,XCG2B.2,84-U958375,XCG_D0057432
VINFELI12,XCG2B.2,67-H461330,XCG_D0057461
VINFELI12,XCG2B.2,99-A162462,XCG_D0058699
VINFELI12,XCG2B.2,20-M185022,XCG_D0057516
VINFELI12,XCG2B.2,70-S792375,XCG_D0057552
VINFELI12,XCG2B.2,72-F673717,XCG_D0057613
VINFELI12,XCG2B.2,36-E102627,XCG_D0057651
VINFELI12,XCG2B.2,79-V622095,XCG_D0061453
VINFELI12,XCG2B.2,79-C276148,XCG_D0057684
VINFELI12,XCG2B.2,79-A758804,XCG_D0058955
VINFELI12,XCG2B.2,25-V291346,XCG_D0060284
VINFELI12,XCG2B.2,79-T815907,XCG_D0060315
VINFELI12,XCG2B.2,62-T844939,XCG_D0060445
VINFELI12,XCG2B.2,74-Z704060,XCG_D0060487
VINFELI12,XCG2B.2,94-C705697,XCG_D0060545
VINFELI12,XCG2B.2,88-P235771,XCG_D0060580
VINFELI12,XCG2B.2,95-N614977,XCG_D0059333
VINFELI12,XCG2B.2,51-N817238,XCG_D0059397
VINFELI12,XCG2B.2,47-G124314,XCG_D0058251
VINFELI12,XCG2B.2,77-P933073,XCG_D0059514
VINFELI12,XCG2B.2,90-X688333,XCG_D0056936
VINFELI12,XCG2B.2,56-U620511,XCG_D0056953
VINFELI12,XCG2B.2,99-S507623,XCG_D0058319
VINFELI12,XCG2B.2,35-L419418,XCG_D0058340
VINFELI12,XCG2B.2,49-B787337,XCG_D0060872
VINFELI12,XCG2B.2,20-P739485,XCG_D0060889
VINFELI12,XCG2B.2,58-M550609,XCG_D0057040
VINFELI12,XCG2B.2,33-P718739,XCG_D0057050
