CohortMonth,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2023-01,820.0,42.0,33.0,50.0,44.0,51.0,38.0,51.0,43.0,35.0,52.0,58.0,484.0,125.0,65.0,43.0,49.0,52.0,47.0,48.0,46.0,46.0,55.0,48.0,924.0,189.0,50.0,51.0,54.0,55.0,15.0
2023-02,723.0,34.0,45.0,48.0,39.0,49.0,33.0,35.0,50.0,49.0,45.0,42.0,423.0,115.0,36.0,36.0,49.0,43.0,51.0,47.0,52.0,44.0,40.0,45.0,796.0,174.0,45.0,60.0,42.0,12.0,
2023-03,735.0,50.0,48.0,51.0,47.0,47.0,49.0,36.0,40.0,31.0,49.0,41.0,505.0,106.0,58.0,49.0,40.0,43.0,43.0,46.0,45.0,41.0,53.0,49.0,952.0,204.0,61.0,60.0,20.0,,
2023-04,671.0,31.0,27.0,44.0,43.0,42.0,42.0,42.0,47.0,47.0,39.0,37.0,454.0,101.0,44.0,28.0,38.0,34.0,57.0,43.0,44.0,47.0,29.0,49.0,846.0,187.0,52.0,23.0,,,
2023-05,627.0,48.0,58.0,45.0,36.0,35.0,41.0,37.0,38.0,41.0,52.0,42.0,468.0,100.0,35.0,29.0,35.0,40.0,34.0,54.0,46.0,48.0,41.0,41.0,874.0,194.0,14.0,,,,
2023-06,548.0,39.0,26.0,39.0,30.0,32.0,26.0,45.0,33.0,30.0,34.0,32.0,442.0,103.0,44.0,26.0,52.0,26.0,38.0,40.0,25.0,42.0,40.0,37.0,846.0,15.0,,,,,
2023-07,579.0,34.0,39.0,28.0,39.0,33.0,38.0,38.0,27.0,31.0,41.0,32.0,475.0,74.0,36.0,36.0,35.0,49.0,31.0,33.0,34.0,44.0,35.0,37.0,18.0,,,,,,
2023-08,501.0,39.0,30.0,30.0,40.0,34.0,27.0,30.0,40.0,41.0,35.0,38.0,453.0,89.0,47.0,25.0,36.0,43.0,39.0,29.0,25.0,30.0,46.0,9.0,,,,,,,
2023-09,485.0,35.0,25.0,26.0,39.0,18.0,33.0,19.0,28.0,35.0,26.0,44.0,422.0,107.0,28.0,46.0,34.0,30.0,33.0,40.0,30.0,30.0,12.0,,,,,,,,
2023-10,453.0,31.0,33.0,34.0,31.0,41.0,28.0,35.0,45.0,35.0,24.0,31.0,471.0,102.0,37.0,38.0,31.0,30.0,33.0,36.0,40.0,12.0,,,,,,,,,
2023-11,351.0,31.0,33.0,34.0,33.0,25.0,29.0,29.0,25.0,31.0,30.0,26.0,408.0,109.0,31.0,29.0,42.0,29.0,28.0,28.0,8.0,,,,,,,,,,
2023-12,369.0,27.0,21.0,23.0,28.0,26.0,23.0,26.0,34.0,34.0,42.0,26.0,417.0,120.0,23.0,31.0,33.0,28.0,30.0,12.0,,,,,,,,,,,
2024-01,354.0,32.0,24.0,21.0,28.0,18.0,28.0,23.0,25.0,19.0,30.0,30.0,569.0,103.0,35.0,27.0,36.0,34.0,7.0,,,,,,,,,,,,
2024-02,282.0,22.0,22.0,26.0,24.0,24.0,27.0,34.0,18.0,25.0,27.0,22.0,473.0,73.0,22.0,28.0,35.0,11.0,,,,,,,,,,,,,
2024-03,300.0,26.0,22.0,16.0,27.0,27.0,25.0,23.0,30.0,19.0,29.0,22.0,557.0,106.0,25.0,28.0,8.0,,,,,,,,,,,,,,
2024-04,266.0,22.0,26.0,23.0,21.0,22.0,27.0,19.0,23.0,24.0,24.0,22.0,536.0,98.0,28.0,8.0,,,,,,,,,,,,,,,
2024-05,251.0,20.0,23.0,22.0,20.0,22.0,29.0,26.0,27.0,17.0,27.0,17.0,579.0,109.0,7.0,,,,,,,,,,,,,,,,
2024-06,217.0,14.0,17.0,19.0,29.0,25.0,20.0,24.0,24.0,22.0,17.0,11.0,492.0,8.0,,,,,,,,,,,,,,,,,
2024-07,194.0,24.0,31.0,9.0,24.0,19.0,23.0,16.0,18.0,18.0,22.0,23.0,4.0,,,,,,,,,,,,,,,,,,
2024-08,180.0,28.0,22.0,29.0,21.0,22.0,16.0,21.0,17.0,25.0,11.0,7.0,,,,,,,,,,,,,,,,,,,
2024-09,154.0,14.0,17.0,17.0,18.0,22.0,16.0,24.0,18.0,17.0,7.0,,,,,,,,,,,,,,,,,,,,
2024-10,122.0,31.0,24.0,20.0,19.0,19.0,10.0,20.0,18.0,11.0,,,,,,,,,,,,,,,,,,,,,
2024-11,128.0,14.0,20.0,13.0,16.0,20.0,19.0,17.0,9.0,,,,,,,,,,,,,,,,,,,,,,
2024-12,124.0,15.0,8.0,16.0,13.0,11.0,21.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
2025-01,73.0,11.0,12.0,12.0,11.0,21.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-02,72.0,13.0,14.0,15.0,14.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03,72.0,21.0,11.0,19.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04,46.0,11.0,11.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05,26.0,15.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06,10.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
