MA_KH,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment,TUOI,GIOI_TINH,NGHENGHIEP,XHKH,Age_Group,VIP_Tier
KH029569,157,3,315000000.0,4,5,5,455,14,Champions,46,Nam,Công nhân,Bạc,46-55,Platinum
KH032151,75,3,315000000.0,5,5,5,555,15,Champions,52,Nam,Công nhân,Đồng,46-55,Platinum
KH036010,144,3,294000000.0,4,5,5,455,14,Champions,46,Nam,Nhân viên văn phòng,Bạc,46-55,Platinum
KH028535,169,3,294000000.0,4,5,5,455,14,Champions,32,Nam,Quản lý sản xuất,Kim cương,26-35,Platinum
KH026156,11,3,247800000.0,5,5,5,555,15,Champions,30,Nam,CEO,Bạch kim,26-35,Platinum
KH035987,51,3,247800000.0,5,5,5,555,15,Champions,43,Nam,Quản lý sản xuất,Kim cương,36-45,Platinum
KH031183,120,3,225000000.0,4,5,5,455,14,Champions,55,Nam,Quản lý sản xuất,Bạch kim,46-55,Platinum
KH032087,24,3,225000000.0,5,5,5,555,15,Champions,45,Nữ,Nhân viên văn phòng,Bạc,36-45,Platinum
KH035364,52,3,225000000.0,5,5,5,555,15,Champions,25,Nữ,Công nhân,Bạc,18-25,Platinum
KH024856,112,3,225000000.0,4,5,5,455,14,Champions,33,Nam,Công nhân,Đồng,26-35,Platinum
KH034122,156,3,225000000.0,4,5,5,455,14,Champions,25,Nữ,Nhân viên văn phòng,Bạc,18-25,Platinum
KH035594,109,3,218400000.0,5,5,5,555,15,Champions,43,Nam,Nhân viên văn phòng,Bạc,36-45,Platinum
KH035027,128,3,216000000.0,4,5,5,455,14,Champions,49,Nam,Quản lý sản xuất,Kim cương,46-55,Platinum
KH034010,2,3,216000000.0,5,5,5,555,15,Champions,46,Nữ,CEO,Bạch kim,46-55,Platinum
KH028473,41,3,216000000.0,5,5,5,555,15,Champions,31,Nam,CEO,Bạch kim,26-35,Platinum
KH029891,327,2,210000000.0,3,4,5,345,12,Potential Loyalists,39,Nam,CEO,Bạch kim,36-45,Gold
KH034993,177,2,210000000.0,4,4,5,445,13,Champions,45,Nữ,Cửa hàng bán lẻ,Vàng,36-45,Gold
KH037462,238,2,210000000.0,4,4,5,445,13,Champions,38,Nữ,Cửa hàng bán lẻ,Vàng,36-45,Gold
KH030699,356,2,210000000.0,3,4,5,345,12,Potential Loyalists,49,Nam,Kinh doanh tự do,Bạc,46-55,Gold
KH031021,138,2,210000000.0,4,4,5,445,13,Champions,34,Nam,Bác sĩ,Vàng,26-35,Gold
KH035704,14,3,210000000.0,5,5,5,555,15,Champions,45,Nam,Công nhân,Đồng,36-45,Platinum
KH029795,177,2,210000000.0,4,4,5,445,13,Champions,32,Nam,Công nhân,Bạc,26-35,Gold
KH030343,241,2,210000000.0,3,4,5,345,12,Potential Loyalists,41,Nam,Giáo viên,Đồng,36-45,Gold
KH030586,114,2,210000000.0,4,4,5,445,13,Champions,39,Nữ,Nhân viên văn phòng,Bạc,36-45,Gold
KH030844,39,3,210000000.0,5,5,5,555,15,Champions,47,Nam,Kinh doanh tự do,Bạc,46-55,Platinum
KH030456,105,2,210000000.0,5,4,5,545,14,Champions,31,Nam,Kỹ sư,Vàng,26-35,Platinum
KH031942,16,2,210000000.0,5,4,5,545,14,Champions,36,Nam,Giáo viên,Bạc,36-45,Platinum
KH034637,80,2,210000000.0,5,4,5,545,14,Champions,45,Nam,Cửa hàng bán lẻ,Vàng,36-45,Platinum
KH032055,324,2,210000000.0,3,4,5,345,12,Potential Loyalists,32,Nam,Cửa hàng bán lẻ,Vàng,26-35,Gold
KH032394,41,2,210000000.0,5,4,5,545,14,Champions,42,Nam,Kỹ sư,Bạc,36-45,Platinum
KH034428,298,2,210000000.0,3,4,5,345,12,Potential Loyalists,42,Nam,Công nhân,Đồng,36-45,Gold
KH027455,108,3,210000000.0,5,5,5,555,15,Champions,48,Nam,Nhân viên văn phòng,Bạc,46-55,Platinum
KH034524,70,2,210000000.0,5,4,5,545,14,Champions,49,Nữ,Cửa hàng bán lẻ,Vàng,46-55,Platinum
KH033185,133,2,210000000.0,4,4,5,445,13,Champions,59,Nam,Kỹ sư,Vàng,55+,Gold
KH028552,97,2,210000000.0,5,4,5,545,14,Champions,46,Nam,Kinh doanh tự do,Bạc,46-55,Platinum
KH028665,65,2,210000000.0,5,4,5,545,14,Champions,33,Nam,Nhân viên văn phòng,Bạc,26-35,Platinum
KH028083,112,2,210000000.0,4,4,5,445,13,Champions,48,Nam,Kỹ sư,Vàng,46-55,Gold
KH028326,331,2,210000000.0,3,4,5,345,12,Potential Loyalists,58,Nữ,Giáo viên,Bạc,55+,Gold
KH032490,158,2,210000000.0,4,4,5,445,13,Champions,47,Nữ,CEO,Bạch kim,46-55,Gold
KH036575,46,2,210000000.0,5,4,5,545,14,Champions,30,Nam,CEO,Bạch kim,26-35,Platinum
KH027761,100,2,210000000.0,5,4,5,545,14,Champions,27,Nữ,Kỹ sư,Bạc,26-35,Platinum
KH036688,363,2,210000000.0,3,4,5,345,12,Potential Loyalists,52,Nam,Nhân viên văn phòng,Bạc,46-55,Gold
KH037398,11,3,210000000.0,5,5,5,555,15,Champions,47,Nữ,Quản lý sản xuất,Kim cương,46-55,Platinum
KH029117,112,2,210000000.0,4,4,5,445,13,Champions,37,Nam,Quản lý sản xuất,Kim cương,36-45,Gold
KH025727,359,2,210000000.0,3,4,5,345,12,Potential Loyalists,41,Nam,CEO,Bạch kim,36-45,Gold
KH032038,238,2,210000000.0,4,4,5,445,13,Champions,37,Nam,Giáo viên,Bạc,36-45,Gold
KH031644,109,3,207000000.0,5,5,5,555,15,Champions,55,Nam,Cửa hàng bán lẻ,Vàng,46-55,Platinum
KH035383,145,3,207000000.0,4,5,5,455,14,Champions,25,Nam,CEO,Bạch kim,18-25,Platinum
KH036503,151,3,207000000.0,4,5,5,455,14,Champions,38,Nam,Cửa hàng bán lẻ,Vàng,36-45,Platinum
KH025762,91,3,202500000.0,5,5,5,555,15,Champions,44,Nam,Giáo viên,Đồng,36-45,Platinum
KH035932,180,3,202500000.0,4,5,5,455,14,Champions,24,Nam,Cửa hàng bán lẻ,Bạc,18-25,Platinum
KH033445,35,3,201600000.0,5,5,5,555,15,Champions,49,Nữ,Cửa hàng bán lẻ,Vàng,46-55,Platinum
KH031524,8,3,201600000.0,5,5,5,555,15,Champions,29,Nam,CEO,Bạch kim,26-35,Platinum
KH035253,59,3,201600000.0,5,5,5,555,15,Champions,44,Nam,Công nhân,Đồng,36-45,Platinum
KH025309,41,3,201600000.0,5,5,5,555,15,Champions,54,Nam,Kỹ sư,Vàng,46-55,Platinum
KH025648,15,3,201600000.0,5,5,5,555,15,Champions,58,Nữ,Bác sĩ,Vàng,55+,Platinum
KH030473,17,2,196000000.0,5,4,5,545,14,Champions,52,Nam,Nhân viên văn phòng,Bạc,46-55,Platinum
KH029456,111,2,196000000.0,4,4,5,445,13,Champions,27,Nam,Kinh doanh tự do,Bạc,26-35,Gold
KH025614,15,2,196000000.0,5,4,5,545,14,Champions,41,Nam,Nhân viên văn phòng,Bạc,36-45,Platinum
